Date,AWS,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
2017-07-02 01:30,0,0,0,0.4,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0,0.6,0.8,0.6,0,0,0.8,0.6,0.8,0,0
2017-07-02 01:40,0.05,0,0,0.6,0,0,0,0,0,0,0,0.4,0.8,1,3,0,0.4,0.4,0.8,0,0,0.4,0.4,0.8,0,0
2017-07-02 01:50,0,0,0,0.2,0,0,0,0,0,0,0,0.1,0.4,3,4,0,1,1.5,3,0,0,0.8,1.5,5,0,0
2017-07-02 02:00,0.3,0,0,2,0,0,0,0,0,0,0,0.2,2,2,8,0,0.4,1.5,6,0,0,1.5,3,6,0,0
2017-07-02 02:10,1.1,0,0,12,0,0,0,0,0,0,0,0.2,4,10,14,0,0.8,4,10,0,0,5,8,14,0,0
2017-07-02 02:20,0.75,0,0,12,0,0,0,0,0,0,0,12,14,30,40,0,16,20,40,0,0,10,16,20,0,0
2017-07-02 02:30,0,0,0,25,0,0,0,0,0,0,0,8,12,20,18,0,12,14,20,0,0,7,20,18,0,0
2017-07-02 02:40,0,0,0,25,0,0,0,0,0,0,0,14,25,25,12,0,20,35,16,0,0,25,40,12,0,0
2017-07-02 02:50,0.05,0,0,5,0,0,0,0,0,0,0,18,12,16,18,0,40,18,14,0,0,50,25,12,0,0
2017-07-02 03:00,0.05,0,0,0,0,0,0,0,0,0,0,9,10,0.8,0.8,0,8,9,10,0,0,10,9,4,0,0
2017-07-02 03:10,0,0,0,0,0,0,0,0,0,0,0,12,3,0.2,0,0,6,12,0.6,0,0,9,14,2,0,0
2017-07-02 03:20,0,0,0,0.2,0,0,0,0,0,0,0,1,0.1,0,0,0,0.4,0,2,0,0,2,2,0.8,0,0
2017-07-02 03:30,0,0,0,0,0,0,0,0,0,0,0,2,0.6,0.2,0,0,1.5,9,1.5,0,0,1,5,18,0,0
2017-07-02 03:40,0,0,0,0,0,0,0,0,0,0,0,0.8,2,2,4,0,0.2,0.2,3,0,0,0.2,0.2,0.2,0,0
2017-07-02 03:50,0.1,0,0,5,0,0,0,0,0,0,0,0.2,0.6,1,3,0,0,5,5,0,0,0,0.8,1,0,0
2017-07-02 04:00,0.05,0,0,2,0,0,0,0,0,0,0,2,3,8,7,0,2,3,5,0,0,2,3,7,0,0
2017-07-02 04:10,0.05,0,0,2,0,0,0,0,0,0,0,2,3,3,6,0,5,6,6,0,0,5,6,6,0,0
2017-07-02 04:20,0.05,0,0,9,0,0,0,0,0,0,0,8,10,8,9,0,5,12,7,0,0,2,2,3,0,0
2017-07-02 04:30,0,0,0,5,0,0,0,0,0,0,0,8,8,4,5,0,10,6,5,0,0,10,8,4,0,0
2017-07-02 04:40,0.05,0,0,0.6,0,0,0,0,0,0,0,2,2,4,4,0,4,4,3,0,0,2,2,2,0,0
2017-07-02 04:50,0,0,0,1,0,0,0,0,0,0,0,0.8,0.6,0.6,0.4,0,0.6,0.4,0.6,0,0,0.6,0.4,0.6,0,0
2017-07-02 05:00,0,0,0,0.2,0,0,0,0,0,0,0,0.2,0.4,0.2,0.1,0,0.4,0.2,0.2,0,0,0.4,0.2,0.2,0,0
2017-07-02 05:10,0,0,0,1.5,0,0,0,0,0,0,0,0.2,0.4,0.6,0.6,0,0.2,1,1,0,0,0.2,0.2,0.6,0,0
2017-07-02 05:20,0,0,0,1.5,0,0,0,0,0,0,0,2,2,1.5,1,0,1.5,1.5,1,0,0,3,2,1.5,0,0
2017-07-02 05:30,0,0,0,0.6,0,0,0,0,0,0,0,1.5,1,1,0.4,0,0.8,1.5,1.5,0,0,1,1,1.5,0,0
2017-07-02 05:40,0,0,0,0.6,0,0,0,0,0,0,0,1,0.8,0.6,0.4,0,0.6,0.4,0.6,0,0,1,0.6,0.4,0,0
2017-07-02 05:50,0,0,0,0.6,0,0,0,0,0,0,0,0.8,0.8,0.4,0.4,0,0.8,0.8,0.6,0,0,0.6,0.6,0.6,0,0
2017-07-02 06:00,0,0,0,0.2,0,0,0,0,0,0,0,0.4,0.4,0.2,0.2,0,0.4,0.2,0.2,0,0,0.4,0.4,0.2,0,0
2017-07-02 06:10,0,0,0,0.4,0,0,0,0,0,0,0,0.4,0.4,0.2,0.1,0,0.4,0.4,0.2,0,0,0.4,0.2,0.2,0,0
2017-07-02 06:20,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0.1,0,0.1,0,0,0.2,0,0,0,0
2017-07-02 06:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
