Date,AWS,R1,R2,R3,R4,R5,R6,R7,R8,R9
2017-07-02 10:00,0,0.1,0.1,0,0,0,0,0,0,0
2017-07-02 10:10,0,0,0,0.1,0,0,0,0,0,0
2017-07-02 10:20,0.25,0,0,0,0,0,0,0,0,0
2017-07-02 10:30,0.1,0,0,1.5,0,0,5,0,0.2,8
2017-07-02 10:40,0.05,0,0.8,1.5,0,1.5,0.8,3,2,0.4
2017-07-02 10:50,0,0,3,10,1,7,12,1.5,6,5
2017-07-02 11:00,0,2,4,0.1,2,3,0,3,0.2,0
2017-07-02 11:10,0,0.1,0.1,0.1,0,0.1,0.1,0,0,0.1
2017-07-02 11:20,0.25,0.2,0.4,1.5,0.1,0.4,1,0.1,0.1,1
2017-07-02 11:30,0.25,0.2,0.4,1.5,0.6,0.6,0.8,0.2,0.8,1
2017-07-02 11:40,0.05,0.2,1.5,2,0.2,1,2,0.2,0.6,4
2017-07-02 11:50,0.05,14,4,6,16,5,4,14,3,3
2017-07-02 12:00,0.05,7,6,3,6,6,5,5,7,6
2017-07-02 12:10,0.05,5,4,3,4,4,3,7,6,6
2017-07-02 12:20,0,5,6,5,6,5,4,4,3,3
2017-07-02 12:30,0,0.8,0.8,0.2,2,0.8,0.4,1.5,1.5,0.8
2017-07-02 12:40,0.25,0.1,0,0,0.2,0.2,0.4,0.2,0.2,0.8
2017-07-02 12:50,0.05,0,0,5,0,0.6,6,0,2,8
2017-07-02 13:00,0.05,0,6,1.5,0,5,1,0.4,2,0.4
2017-07-02 13:10,0.05,0.4,0.6,0.6,0,0,0.4,0,0,0.6
2017-07-02 13:20,0,2,3,1.5,1,1,1,1,0.8,1
2017-07-02 13:30,0,3,1,1,2,2,2,2,1,2
2017-07-02 13:40,0,2,1,1,2,1,0.8,1.5,1,2
2017-07-02 13:50,0.05,9,12,7,9,10,7,6,5,3
2017-07-02 14:00,0,25,25,25,40,50,50,20,20,14
2017-07-02 14:10,0,7,1,0.1,7,6,6,10,14,12
2017-07-02 14:20,0,0.6,0.2,0.1,0.2,0,0,0.2,0,0
2017-07-02 14:30,0,4,1.5,0.4,3,1.5,0.6,4,2,0.8
2017-07-02 14:40,0,7,12,2,6,9,2,2,1.5,0.8
2017-07-02 14:50,0.05,12,16,8,10,14,7,7,7,4
2017-07-02 15:00,0,20,40,4,30,35,8,30,30,20
2017-07-02 15:10,0,0.8,0.4,0.6,1,1,1,9,7,0.8
2017-07-02 15:20,0,3,0,0,2,0.2,0,0.6,0.4,1
2017-07-02 15:30,0.05,0,0,0,0,0,0,0,0,0
2017-07-02 15:40,0,0,0,0,0,0,0,0,0,0.8
2017-07-02 15:50,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:00,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:10,0,0.1,0,0,0.2,0,0,0.1,0,0
2017-07-02 16:20,0,0.2,0.4,0,0.8,0.2,0,0.4,0.8,0.6
2017-07-02 16:30,0,0,0,0,0,0,0,0,0,0
2017-07-02 16:40,0.05,0,1,1,0,0.8,0.4,0,0.4,0.1
2017-07-02 16:50,0.1,9,5,4,10,12,4,12,16,4
2017-07-02 17:00,0.1,1,2,2,1.5,1,1.5,2,2,1
2017-07-02 17:10,0.7,2,4,8,2,2,9,1.5,2,6
2017-07-02 17:20,0.65,7,6,10,5,5,12,5,6,16
2017-07-02 17:30,0,4,6,6,6,5,5,5,6,5
2017-07-02 17:40,0.1,0.4,2,4,3,3,5,4,3,1
2017-07-02 17:50,0,3,4,0.8,1.5,2,1,0.8,3,1.5
2017-07-02 18:00,0,0.6,0,0,1,0.2,0,1.5,0.8,0
2017-07-02 18:10,0.05,0.1,0.2,0.4,0.1,0.1,0.4,0,0.1,0.4
2017-07-02 18:20,0,0.2,0.2,0,0.2,0.1,0.1,0.2,0.2,0.6
2017-07-02 18:30,0,0.1,0,0,0,0,0,0,0,0
2017-07-02 18:40,0,1.5,0,0,1.5,0,0,0.8,0,0
2017-07-02 18:50,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:00,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:10,0,0.2,0.6,1,0.4,1.5,1.5,0.4,0.8,1
2017-07-02 19:20,0,0,0,0,0,0,0,0,0,1.5
2017-07-02 19:30,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:40,0,0,0,0,0,0,0,0,0,0
2017-07-02 19:50,0,0,0,0,0,0,0,0,0,0.1
