Date,AWS,wind_speed,wind_direction,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49
2017-07-02 01:30,0,0.39,246.1,1.5,1,1,0.4,0,0,0,0.4,1.5,1,0.8,0.2,0,0,0,0.2,0.6,0.4,0.1,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0,0,0,0,0.1,0.2,0.2,0.6,0.4,0,0,0,0,0.2,0.4,0.4,0,0
2017-07-02 01:40,0,0.41,249.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.6,0.2,0.2,0,0,0,0,0.8,0.4,0.1,0,0,0,0,0.6,0.6,0.2,0,0,0,0,0.8,0.4,0.2,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 01:50,0,0.22,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0
2017-07-02 02:00,0,0.16,270.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:10,0,1.12,263.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:20,0,0.71,314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:30,0,0.59,334.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:40,0,0.39,356.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 02:50,0,0.6,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:00,0,0.09,328.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:10,0,0.3,235.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 03:20,0,0.43,259.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0.4,0.4,0,0,0,0,0,0.6,1,0,0,0,0,0.1,0.4,1.5,0,0,0,0,0,0.6,1
2017-07-02 03:30,0,0.2,295.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,2,0,0,0,0,0,0.2,1.5
2017-07-02 03:40,0,0.12,351.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1
2017-07-02 03:50,0,0.59,327.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0.4,0.8,0,0,0,0,0,0.6,1.5,0,0,0,0,0,0.4,1,0,0,0,0,0.1,0.4,1,0,0,0,0,0,0.6,1,0,0,0,0,0,0.2,5
2017-07-02 04:00,0,0.95,338.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0.2,1,0,0,0,0,0.4,0.4,1.5,0,0,0,0.1,0.6,1,1,0,0,0.1,0.4,0.4,1,1,0,0,0.2,0.6,1,1.5,2
