Date,AWS,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25
2017-07-02 01:30,0.35,1,2,5,10,14,3,3,10,12,10,4,12,12,9,10,10,18,16,9,14,10,16,14,12,9
2017-07-02 01:40,0.25,4,8,10,18,20,4,2,8,12,12,3,7,14,10,8,4,12,16,8,3,9,12,10,12,6
2017-07-02 01:50,0.1,6,8,7,9,7,12,14,14,14,6,14,16,20,20,8,10,14,14,12,5,5,14,14,9,4
2017-07-02 02:00,0,12,20,30,12,3,14,30,40,12,4,5,14,16,6,3,5,8,8,6,2,7,7,14,6,3
2017-07-02 02:10,0.05,14,7,4,3,1,20,14,9,3,2,20,18,14,9,2,35,25,16,6,2,30,30,14,7,4
2017-07-02 02:20,0,18,18,14,10,5,12,6,5,4,1,14,6,3,1,0.4,16,5,2,1.5,0.2,10,10,10,1.5,0.4
2017-07-02 02:30,0,12,10,10,6,1,10,16,18,10,0.8,9,20,20,12,0.8,18,20,20,8,0.6,12,12,12,2,1.5
2017-07-02 02:40,0,14,9,5,1.5,0.2,25,20,4,3,0.2,20,12,9,6,0.2,16,10,10,1.5,0.2,14,9,6,0.8,0.2
2017-07-02 02:50,0,3,0.2,0.4,0,0,2,2,0.6,0,0,5,4,0.2,0,0,9,4,1.5,0,0,16,5,2,0,0
2017-07-02 03:00,0,0,0.2,0.2,0.4,0,0.2,0.1,0.1,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0
2017-07-02 03:10,0,0.2,0.8,1,1.5,0.2,2,0.6,0.4,0.6,0.1,1.5,1,0.6,0.1,0,2,1.5,0.8,0.1,0,1.5,1.5,0.6,0.1,0
2017-07-02 03:20,0,8,5,1.5,0.4,0,6,2,2,0.6,0.2,4,3,0.8,0.4,0.2,4,1.5,0.4,0.2,0.1,1,0.6,0.6,0.2,0.1
2017-07-02 03:30,0,12,3,1,0,0,14,4,0.2,0,0,10,5,0.2,0,0,10,3,0.1,0,0,2,2,1.5,0,0
2017-07-02 03:40,0,3,0.6,0.2,0,0,7,1,0.2,0,0,8,0.6,0.2,0,0,7,1,0.2,0,0,5,0.8,0.1,0,0
2017-07-02 03:50,0,0.6,0.1,0.1,0.2,0.2,0.8,0.1,0.1,0.2,0.2,0.4,0.1,0,0,0,0.8,0,0,0,0,2,0.1,0,0,0
2017-07-02 04:00,0.05,12,8,5,4,4,3,4,4,3,3,3,1,0.6,2,3,2,1.5,0.2,0.6,0.6,0.4,0.4,0.2,0.1,0.2
2017-07-02 04:10,0,14,8,4,1.5,1,14,7,4,2,3,9,4,3,2,3,3,3,1,1.5,3,6,3,1.5,4,4
2017-07-02 04:20,0.05,10,8,4,1,3,6,5,2,1.5,0.6,5,5,1.5,1.5,1,7,3,1.5,1,0.8,5,2,2,2,1.5
2017-07-02 04:30,0,14,3,1.5,0.1,0,5,4,2,0.1,0,14,7,6,0.2,0.2,8,8,2,0.4,0.8,5,3,2,0.8,0.4
2017-07-02 04:40,0,0.2,0,0,0,0,0.4,0,0,0,0,0.4,0.1,0,0,0,1,0.2,0,0,0,1,0.8,0.1,0,0
2017-07-02 04:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:00,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 06:10,0,0,0,0,0.1,0.1,0,0,0,0,0.2,0,0,0,1,3,0,0,0,0.2,2,0,0,0,0.8,2
2017-07-02 06:20,0,0,0.1,0.2,1,2,0,0,0.2,0.6,1,0,0,0.2,1,0.6,0,0,0.1,0.2,0.4,0,0,0.2,0.2,1
2017-07-02 06:30,0.05,1,4,4,3,0.2,0.8,2,5,1.5,0.6,0.2,1.5,3,1.5,0.6,0,0.4,1.5,2,0.6,0.1,0.4,2,2,0.4
2017-07-02 06:40,0,8,10,6,1.5,0.8,12,16,7,1,0,12,16,8,0.4,0,10,8,5,0.8,0.4,12,12,1.5,0.6,0.2
2017-07-02 06:50,0,10,2,0.4,0.1,0,4,0.8,1,0.2,0,4,3,2,0.8,0,9,9,3,0.4,0,9,6,2,0,0
2017-07-02 07:00,0,20,10,1.5,0,0,18,2,0,0,0,16,1,0,0,0,6,0.8,0.2,0,0,2,5,1,0,0
2017-07-02 07:10,0,1.5,2,1,0,0,6,5,0.8,0,0,4,7,0.6,0,0,6,4,0.8,0,0,4,1,0.2,0,0
2017-07-02 07:20,0,0.6,0.4,0.1,0,0,0.4,0.2,0,0,0,2,1.5,0,0,0,10,2,0,0,0,20,1,0,0,0
2017-07-02 07:30,0,0.6,0.1,0.1,0,0,0.6,0,0,0,0,0.6,0.1,0,0,0,0.4,0.2,0,0,0,0.4,0,0,0,0
2017-07-02 07:40,0,0.2,0.2,0.1,0,0,0.2,0.2,0,0,0,0.2,0.1,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0
2017-07-02 07:50,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0.2,0,0,0,0
2017-07-02 08:00,0,0.4,1,1.5,0.4,0,2,4,6,1,0,0.6,1,1,0.4,0,0.4,0.6,0.4,0.4,0,0,0,0,0.2,0.2
2017-07-02 08:10,0,4,3,0.6,0,0,3,3,0.8,0,0,5,3,0.1,0,0,4,4,0.1,0,0,1.5,0.8,0.2,0,0
2017-07-02 08:20,0,0.4,0.4,0.2,0.2,0.2,0.2,0.2,0.4,0.2,0.1,0.4,0.2,0.2,0.2,0.1,1.5,0.2,0.2,0,0,0.4,0.1,0.1,0,0
2017-07-02 08:30,0,0.2,0.2,0.2,0.1,0.1,0.2,0.4,0.2,0.2,0.1,0.4,0.2,0.2,0.2,0.1,0.4,0.4,0.4,0.2,0,0.2,0.4,0.4,0.2,0.1
2017-07-02 08:40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 08:50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 09:00,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 09:10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 09:20,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 09:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 09:40,0,0.2,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,0.6,0.1,0,0,0,1,0,0,0,0.2,2,0,0,0,0.2,2
2017-07-02 09:50,0,0.4,0.2,0.2,0.4,1,0.2,0.2,0.6,0.8,1,0.4,0.4,0.6,0.6,0.4,0.6,0.4,1,1,0.6,0.4,0.4,0.6,0.8,1.5
2017-07-02 10:00,0,0.6,0.2,0.2,0.1,0.1,0.2,0.2,0.8,1,0.2,0.2,0.2,0.1,0.1,1,0.2,0.1,0.1,2,0.8,0.2,0.4,1.5,2,0.2
2017-07-02 10:10,0,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.2,0.2,0.2,0.2,0.6,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.4,0.2,0.2,0.6,0.2,0.4
2017-07-02 10:20,0,0,0,0,0,0.1,0.1,0,0,0,0,0.1,0,0,0,0,0.2,0.1,0,0.4,0,0.2,0.1,0.4,2,0.6
2017-07-02 10:30,0.05,0,0,0,0,2,0,0,0,0.1,1,0,0,0,0.1,0.4,0,0,0,0.2,0.8,0,0,0,0.1,0.6
2017-07-02 10:40,0.05,0.1,0,0,1.5,7,0.1,0.2,0.1,1.5,4,0,0.4,0.6,3,2,0,0.2,2,4,6,0.1,0.4,6,10,3
2017-07-02 10:50,0,0.4,0.4,0.6,0.2,0.1,0.2,0.2,0.2,0.4,0.4,0.2,0.6,2,3,1,0.4,2,5,6,0.6,0.6,5,9,5,0.8
2017-07-02 11:00,0.05,0.4,0.8,1,1.5,2,0.4,0.6,0.6,1,2,0.4,0.6,0.4,0.2,2,0.4,0.4,0.2,0.8,2,0.6,0.6,0.2,0.2,0.8
2017-07-02 11:10,0.05,2,3,2,3,2,1.5,2,4,7,6,1,2,5,7,7,1.5,4,5,5,5,2,2,3,5,5
2017-07-02 11:20,0,3,5,6,4,6,4,6,7,5,5,4,3,5,5,4,2,2,3,3,1,2,3,5,4,1.5
2017-07-02 11:30,0.05,3,3,2,0.8,0.2,4,4,4,1,1,3,4,6,5,2,4,5,10,10,3,6,6,7,6,5
2017-07-02 11:40,0,1,0.2,0.1,0,0,1,0.6,0.8,0,0,1.5,0.8,0.4,0.1,0,2,1,0.4,0.2,0,3,1.5,0.6,0.1,0
2017-07-02 11:50,0,0.1,0,0,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0.6,0.2,0,0,0,0.6,0.1,0,0,0
2017-07-02 12:00,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0
2017-07-02 12:10,0,0,0,0,0,0.8,0,0,0.2,1,1.5,0,0,0.1,1,2,0.1,0,4,6,1,0.1,0,0.6,4,1.5
2017-07-02 12:20,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.8,0.2,0,0.2,0.4,0.8,0.2,0,0.8,0.8,0.6,0.8,0
2017-07-02 12:30,0.05,0,0,0,0,0.2,0,0,0,0,0.8,0,0,0,0.4,1.5,0,0,0,0.8,1,0,0,0,1.5,1.5
