Date,AWS,wind_speed,wind_direction,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49
2017-07-02 01:30,0.05,0.63,299.6,0.2,0.6,0.8,1,1,1,0.6,0.4,0.4,0.8,2,2,1,0.8,0.2,0.8,0.6,1,1.5,1,1.5,0.2,0.8,1.5,1.5,1.5,1,1.5,0.6,1,1,1.5,2,2,2,0.2,0.6,0.8,2,2,1.5,3,0.2,1.5,1.5,1.5,3,3,3
2017-07-02 01:40,0.05,0.19,207.3,0.6,0.6,0.8,2,2,2,3,0.4,0.8,0.8,2,2,4,3,0.2,0.6,0.8,1,1.5,3,4,0.2,0.8,1.5,1,1,1,3,0.2,0.6,1,1,1,2,4,0.2,0.4,0.8,1,1,3,6,0.4,0.6,1,1,1,5,6
2017-07-02 01:50,0.1,0.38,303.4,1.5,2,3,4,3,2,2,2,3,4,5,4,3,4,2,7,7,7,6,4,6,2,3,2,4,4,5,9,1,2,2,2,6,7,7,0.8,1.5,3,3,4,5,4,0.8,1.5,2,3,5,5,4
2017-07-02 02:00,0.2,0.89,182.7,5,6,5,5,4,4,10,4,5,7,5,2,4,7,4,6,6,4,2,1.5,5,6,3,7,6,3,3,2,8,3,3,6,3,3,5,4,6,7,6,6,3,7,8,7,7,7,6,6,9
2017-07-02 02:10,0.7,1.13,250.8,2,2,4,8,16,16,20,4,3,5,8,12,16,18,3,4,4,5,12,14,16,4,4,5,3,7,14,20,7,9,5,7,10,14,35,8,10,10,4,9,12,25,7,6,3,3,6,7,14
2017-07-02 02:20,0.9,0.5,221.1,4,6,12,12,10,10,10,3,5,6,9,9,14,16,3,2,4,5,8,14,14,3,2,6,9,16,20,16,3,2,3,4,18,25,20,4,3,4,4,7,12,12,5,3,4,3,7,12,16
2017-07-02 02:30,0.8,0.6,47,7,12,12,14,12,16,18,4,6,6,5,10,12,14,3,2,3,9,14,16,12,2,3,5,10,16,18,9,4,5,4,9,14,14,16,3,4,9,10,16,14,10,3,4,10,10,5,8,12
2017-07-02 02:40,0.3,1.07,212.2,14,10,12,7,4,5,8,9,10,6,5,9,10,14,8,8,12,10,12,12,20,9,8,10,18,20,20,20,5,10,12,14,20,20,20,5,7,12,18,20,20,16,4,7,14,18,20,16,14
2017-07-02 02:50,0.1,1.11,171.7,14,12,14,10,7,1,0.6,16,12,8,5,2,2,4,10,8,4,3,4,6,6,10,9,6,4,9,10,9,16,6,4,8,14,18,12,10,7,9,6,12,18,12,10,14,14,10,14,20,16
2017-07-02 03:00,0,0.57,293.1,25,30,40,9,1,0.2,0,20,20,8,3,0.6,0.2,0,18,14,7,2,0.8,0.6,0.2,20,12,6,4,1.5,1.5,0.4,25,12,4,4,4,3,1.5,12,9,6,6,9,16,3,7,5,4,8,10,25,2
2017-07-02 03:10,0.05,1.27,44.9,12,10,16,10,3,3,0.4,18,20,20,5,0.2,0.6,0.2,20,25,20,5,0.6,0.2,1,30,25,12,4,0.4,0.4,1.5,25,12,3,2,1.5,1,2,25,20,3,3,1,0.6,1.5,12,3,4,3,1,0.6,0.8
2017-07-02 03:20,0.7,1.43,33.3,25,30,50,40,30,9,9,20,20,20,25,6,6,12,7,9,3,2,7,18,20,10,10,6,3,4,8,20,12,18,10,7,10,4,3,18,18,7,5,5,1.5,1,18,14,6,16,12,1,1.5
2017-07-02 03:30,0.45,2.36,43.9,16,20,25,14,2,7,14,16,14,20,16,8,9,20,16,16,18,12,10,20,20,25,20,20,14,20,25,20,20,20,20,30,40,25,9,16,18,10,16,20,20,9,6,8,12,10,10,8,4
2017-07-02 03:40,0.5,1.91,126.9,5,1,0.2,0.6,4,9,8,3,1,1.5,3,16,14,6,3,1.5,1.5,5,8,10,10,5,3,3,10,12,16,12,6,4,4,10,20,20,14,10,8,4,6,20,20,12,8,7,7,12,20,20,10
2017-07-02 03:50,0.2,1.27,173.4,2,0,0.2,9,18,14,5,0.6,0,0.2,4,14,14,3,0.4,0.6,0,3,5,4,4,0.2,1,1.5,4,10,8,4,0.2,0.8,4,10,16,14,4,0.8,2,12,20,20,12,3,1,2,7,20,10,7,7
2017-07-02 04:00,0.55,0.54,162.1,0.2,0.4,1,1,1,4,18,0.2,0.4,1.5,6,9,4,10,0.1,3,4,10,16,2,2,0.2,2,14,25,10,2,3,0.2,0.6,10,16,9,3,2,0.8,0.8,10,12,7,1.5,0.2,0.6,1,6,6,6,1.5,0.4
2017-07-02 04:10,0.8,0.79,76,0.2,2,3,0.8,2,12,16,0.6,0.2,1,1.5,3,10,18,0.2,0.4,1.5,2,7,12,10,0.1,0.6,2,1.5,4,8,7,0.2,1.5,2,3,6,8,7,1,3,6,6,7,12,12,2,5,12,9,6,9,10
2017-07-02 04:20,0.7,1.75,60.1,6,1,0.2,1,3,7,9,3,1.5,1,3,6,5,8,2,1.5,2,5,8,12,10,2,2,5,9,10,12,10,1.5,0.6,1,6,12,14,12,0.6,1.5,3,6,12,12,8,1.5,3,8,9,14,10,7
2017-07-02 04:30,0.6,1.85,55.4,2,1,1,10,10,10,9,1,0.2,1,2,12,10,20,0.6,0.6,3,5,10,16,12,1.5,2,4,8,12,10,16,3,6,7,7,12,8,10,2,4,4,8,10,5,6,1,3,7,8,7,6,4
2017-07-02 04:40,0,1.79,4.9,0,0,0,2,0.4,0,0,0,0,2,3,4,2,0.6,0,3,3,8,7,2,3,0.4,2,6,12,14,10,5,1.5,6,12,14,16,20,7,3,7,12,20,20,20,4,4,3,6,14,12,8,4
2017-07-02 04:50,0,1.21,155.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1,0.6,0,0,0,0,3,2,0.4,0,0,0.2,2,4,4,0.8,1,0.8,0.6,1.5,7,5,3,10,8,0.6
2017-07-02 05:00,0,0.6,244.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0.1,0,0.2,0,0,0
2017-07-02 05:10,0,0.59,188.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:20,0,1.42,104.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-02 05:30,0,1.94,56.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.6,0.4,0,0,0,0,0,1,0.2,0,0,0,0,0
2017-07-02 05:40,0,1.07,51.4,0,0,0,0,0.1,0.1,0,0,0,0,0.4,0.8,0.2,0,0,0,0,0.8,1.5,0.1,0,0,0,0.2,1,0.8,0.1,0,0,0,0.2,1,0.6,0.1,0,0,0,0.1,0.8,0.6,0,0,0.2,0,0,0.8,0.4,0,0
2017-07-02 05:50,0,1.32,51.9,0,0,0,0.1,0.2,0.2,0.2,0,0,0,0,0.1,0.2,0.1,0,0,0,0,0.2,0.4,0.1,0,0,0,0,0.4,0.2,0.1,0,0,0,1,0.2,0.1,0,0,0,1,3,0.1,0,0,0,0,7,5,0.2,0,0
2017-07-02 06:00,0,1.21,63.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0.1,0.2,0.2,0.1,0,0,0,0.4,0.2,0.4,0.1,0
2017-07-02 06:10,0,1.69,47.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
