Date,AWS,wind_speed,wind_direction,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49
2017-07-08 01:30,0,0.13,17.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 01:40,0,0.74,70.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 01:50,0,0.58,73.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 02:00,0,0.36,27.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 02:10,0,0.19,72.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 02:20,0,0.33,237.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 02:30,0,0.1,204.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 02:40,0,0,119,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0.4,4,0,0,0,0,0,0.4,6,0,0,0,0,0,3,4
2017-07-08 02:50,0,0.37,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,1,0.1,0,0,0,0.2,0,1.5,0,0,0,0.4,2
2017-07-08 03:00,0,0.27,25.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,6,0,0,0,0,0,0.1,1,0,0,0,0,0,0,2
2017-07-08 03:10,0,0.35,26.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,1
2017-07-08 03:20,0.05,0.13,183.2,0,0,0,0.2,2,8,5,0,0,0,0.1,1,1.5,3,0,0,0,0,0.1,0.2,0.8,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4
2017-07-08 03:30,0,0.14,169.3,0.2,0.6,1,0.8,0.2,0.1,0,0.2,0.8,0.4,1,0.8,0.4,0.1,0.2,1,1.5,1,3,1.5,0.1,0.6,1.5,2,1.5,2,0.8,0.1,0.4,1.5,2,1,0.8,5,1,0.2,0.8,1.5,2,3,8,7,0,0.2,0.8,0.8,0.6,10,25
2017-07-08 03:40,0.05,0.39,52.7,0,0.1,0,0,0,0,0,0.1,0.2,0,0,0.2,0.4,0.1,0.2,0.1,0,0,0.2,0.6,0.2,0.2,0.1,0,0,0,0.1,0,0.4,0.1,0,0,0,0,0,0.4,0.2,0.1,0,0.2,0.2,0.2,1.5,1,0.6,0,0,0.4,0.1
2017-07-08 03:50,0,0.62,55.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0,0
2017-07-08 04:00,0,0.35,62.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 04:10,0,0,54.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
