Date,AWS,wind_speed,wind_direction,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49
2017-07-10 01:30,0,0.57,342.3,0.8,0.6,0.2,0.2,0.4,0.4,0.4,0.4,0.2,0.4,0.4,0.4,0.4,0.6,0.1,1,0.6,0.6,0.2,0.4,0.6,1,1,1,0.6,0.4,0.6,0.4,1,1,1.5,1,0.6,0.6,0.6,1,1.5,1,1,1,0.8,1,1.5,1.5,1,0.8,1,1,1
2017-07-10 01:40,0,0.29,273.7,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0.2,0.2,0.2,0.2,0.1,0,0.1,0.4,0.4,0.4,0.2,0.1,0,1,0.4,0.6,0.6,0.4,0.2,0.2,0.6,0.6,1,0.8,0.6,0.4,0.2,1.5,1,1.5,0.6,1,0.4,0.2
2017-07-10 01:50,0,0.36,211.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0.1,0.1,0,0,0,0
2017-07-10 02:00,0,0.01,234.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 02:10,0,0.59,123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 02:20,0,0.44,124.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 02:30,0,0.42,138,0,0.1,0.2,0.2,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 02:40,0,0.38,174.8,0.1,0.1,0.2,0.2,0.4,0.6,0.2,0.2,0.2,0.2,0.2,0.6,0.6,0,0.2,0.4,0.2,0.4,0.4,0.2,0,0.2,0.4,0.2,0.4,0.2,0.1,0.1,0.2,0.4,0.2,0.2,0.1,0.1,0.1,0.2,0.4,0.2,0.1,0,0,0,0,0,0.1,0.1,0,0,0
2017-07-10 02:50,0,0.58,175.8,0.2,0.1,0.4,0.8,1,1.5,1.5,0.4,0.1,0.1,0.2,0.8,0.6,0.6,0.2,0.2,0.2,0.1,0.1,0.2,0.1,0.6,0.4,0.1,0,0,0,0,0.4,0.4,0.1,0,0,0,0,0.4,0.2,0.1,0,0,0,0,0.2,0.2,0.1,0,0,0,0
2017-07-10 03:00,0,0.43,190.3,7,6,5,4,3,3,2,5,5,6,5,3,3,1.5,3,5,6,6,5,2,0.8,1,3,4,5,3,1.5,0.8,0.4,0.8,1,1,1.5,0.4,0.4,0.1,0.1,0.2,0.2,0.2,0,0,0.1,0,0,0,0,0,0
2017-07-10 03:10,0,0.21,162,1,0.6,1.5,1,0.4,0.4,0.2,1.5,1,2,1,0.6,0.4,0.2,4,3,3,2,0.6,0.4,0.2,3,3,2,1.5,0.6,0.4,0.2,3,3,2,1,0.8,0.6,0.2,3,3,2,1.5,0.8,0.2,0.4,3,3,4,2,1,0.4,0.4
2017-07-10 03:20,0,0,267.9,0.8,0.6,0.6,0.2,0.1,0,0,0.6,0.2,0.2,0.1,0,0,0,0.2,0.4,0.2,0.1,0,0,0,0.2,0.6,0.2,0.1,0,0,0,0.4,0.6,0.4,0.2,0.1,0,0,1,0.4,0.4,0.2,0.1,0.1,0,1,1,0.6,0.2,0.1,0,0
2017-07-10 03:30,0.05,0,267.9,0.4,0.2,0.4,1,0.8,1,0.8,0.4,0.2,0.4,0.4,0.4,0.4,1,0.4,0.4,0.4,0.4,0.2,0.2,1.5,0.4,0.4,0.2,0.2,0.2,0.4,1,0.2,0.1,0,0,0.1,0.2,0.4,0,0,0,0,0.1,0.2,0.2,0.1,0,0,0.2,0.2,0.1,0.2
2017-07-10 03:40,0.05,0.4,267.9,8,6,8,8,3,1,0.2,7,4,2,2,1,1,0.2,1,3,1.5,1,1,0.8,0.4,0.6,1,1.5,1.5,1.5,0.8,0.4,0.1,0.6,0.4,1,1.5,0.6,0.2,0.1,0.2,0.6,0.8,1,0.6,0.2,0.1,0.2,0.4,0.6,0.2,0.1,0.1
2017-07-10 03:50,0.1,0.97,323.3,2,2,18,20,20,10,5,1.5,5,20,20,16,14,5,0.6,1,6,12,9,10,9,1,1,3,7,3,3,4,1,0.4,2,2,1,1.5,1.5,1,1.5,0.4,0.1,0.1,0.1,0.1,0.4,0.4,0.8,0.1,0,0,0
2017-07-10 04:00,0,0.95,347.3,30,4,5,2,0.4,1.5,2,14,12,3,2,1,1,0.8,10,7,10,5,0.6,0.4,0.8,7,8,8,2,0.8,0.6,0.6,14,14,10,1,0.4,0.4,0.1,10,25,20,0.8,0.2,0,0,2,3,5,3,0,0,0
2017-07-10 04:10,0,0.55,328.9,0,0,4,3,2,0.2,0,0,0,3,1.5,1,0,0,0,2,1,0.8,0.2,0,0,0,1,0.4,0.2,0,0,0,3,3,0.8,0.1,0,0,0,2,2,0.6,0.1,0,0,0,1,0.6,0.2,0.1,0,0,0
2017-07-10 04:20,0,0.88,305.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 04:30,0.05,1.04,317.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 04:40,0,1.09,355.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 04:50,0,1.01,356.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.4,0,0,0,0,0,0.4,0.2,0,0,0,0,0,0.4,0,0,0,0,0
2017-07-10 05:00,0,0.91,300.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0
2017-07-10 05:10,0,0.94,322.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 05:20,0,0.97,310.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 05:30,0,0.76,343.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 05:40,0,0.62,332,0.1,0,0.2,0.2,0.1,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 05:50,0,0.14,1.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 06:00,0,0.06,351.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 06:10,0,0.77,355.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 06:20,0,0.89,317.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 06:30,0,0.61,294.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 06:40,0.05,0.49,346.9,1.5,1,0.8,0.8,0.4,0.2,0.2,1.5,0.6,0.4,1,1,0.2,0.4,0.2,0.1,0.1,0.2,1,0.6,0.1,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 06:50,0,0.5,314.6,0.4,0.4,1,0.8,0,0,0,0.8,0.6,1,0.6,0,0,0,0.2,0.1,0.8,0.6,0,0,0,0.2,0,0.2,0.4,0,0,0,0.4,0.1,0.2,0.2,0.1,0,0,0.8,0.2,0.2,0.2,0,0,0,0,0.1,0.2,0.1,0,0,0
2017-07-10 07:00,0,0.53,315.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 07:10,0,0.91,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 07:20,0,1.18,332.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 07:30,0,1.12,339.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 07:40,0.05,0.96,344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 07:50,0,0.77,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 08:00,0,0.24,340.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 08:10,0,0.25,49.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 08:20,0,0.42,123.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 08:30,0,0.69,156.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 08:40,0,0.35,97.9,0,0,0.1,0.2,0.8,1,1,0,0,0,0,0.2,0.4,1,0,0,0,0,0.2,0.4,0.6,0,0,0,0,0.2,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-10 08:50,0,0.25,128.8,2,1.5,2,1.5,0.8,0.6,0.6,1,1,1,1,0.8,0.8,0.4,1,1.5,0.8,0.6,0.6,0.8,0.4,0.4,1,0.6,0.6,0.8,0.8,0.2,0.1,0.2,0.6,0.6,0.8,0.6,0.1,0,0.2,0.2,0.6,0.2,0.4,0.1,0,0,0.2,0.2,0.1,0,0
2017-07-10 09:00,0,0.63,1.5,2,2,1.5,1.5,0.8,0.2,0.2,2,1.5,0.8,0.8,0.6,0.4,0.2,1,1,0.6,0.4,0.4,0.4,0.2,1,2,1,0.4,0.4,0.2,0.1,0.8,0.8,1,0.4,0.2,0.1,0,1,1,0.8,0.4,0.1,0,0,0.6,1,1,0.4,0.1,0,0
2017-07-10 09:10,0,1.04,351.8,1,0.6,0.4,0.4,0.4,0.6,0.4,0.8,0.4,0.4,0.4,0.4,0.2,0.2,0.6,0.6,0.4,0.2,0.4,0.2,0.2,0.6,0.4,0.4,0.2,0.4,0.2,0.2,0.6,0.4,0.4,0.2,0.2,0.2,0.1,0.6,0.6,0.4,0.4,0.2,0.2,0,0.4,0.4,0.2,0.2,0.2,0.1,0
2017-07-10 09:20,0.05,0.42,350,2,2,3,2,2,1.5,1.5,2,3,2,3,2,2,1,2,1.5,2,1.5,2,2,1.5,1,0.8,1,1.5,2,2,1.5,0.6,0.6,0.6,0.4,0.6,1,1,0.4,0.4,0.4,0.4,0.4,0.2,1,0.4,0.2,0.4,0.4,0.2,0.2,0.1
2017-07-10 09:30,0.05,0.08,35.6,4,2,2,2,3,3,2,3,2,2,1,3,3,1,1.5,2,2,1.5,2,3,2,2,2,2,1.5,2,2,1.5,2,2,2,1,2,1,0.6,2,2,2,1.5,1,0.8,0.6,1.5,1.5,1.5,2,1.5,1,0.6
2017-07-10 09:40,0.1,0.3,262.6,3,2,2,4,3,3,3,3,4,5,7,4,2,3,4,5,6,6,4,2,1.5,2,3,6,5,4,2,1.5,2,2,1.5,3,2,1,1,3,2,2,2,1.5,1.5,1,1.5,2,2,2,1.5,1.5,1
2017-07-10 09:50,0.1,0.8,192.9,6,5,4,4,5,6,6,7,6,8,4,5,7,7,6,5,7,6,5,9,6,4,6,8,10,7,8,6,4,4,6,7,8,9,9,2,4,3,4,10,12,6,1.5,2,2,5,6,10,9
2017-07-10 10:00,0.1,0.85,184.7,1.5,0.6,1.5,2,2,1.5,1,3,2,2,1.5,2,1.5,2,5,4,3,2,2,2,2,5,7,4,4,2,3,3,5,7,8,3,3,4,5,6,9,9,7,4,5,4,7,7,9,7,3,4,4
