Date,AWS,wind_speed,wind_direction,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49
2017-07-08 01:30,0,0.97,193.7,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.2,0,0,0,0.1,0,0,0,0.6,0.2,0.4,0.2,0,0,1,0.8,2,1,0,0,0,1,1,2,1,0,0,0
2017-07-08 01:40,0.05,1.13,140.5,0.2,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 01:50,0,0.35,89.5,0,0,0,0.1,0.1,0,0.2,0,0.1,0.2,0.2,0,0,0.2,0,0.6,1,0.4,0,0,0,0,0.1,1,0.4,0,0,0,0,0.2,0.2,0.1,0,0,0,0.4,0.2,0,0,0,0,0,0.6,0.2,0,0,0,0,0
2017-07-08 02:00,0.1,0.9,349.5,0,0,0,0,0,0,1,0,0,0,0,0.2,0.6,1,0,0,0.2,1,0,1,1.5,0,0,0.2,1,1,1,1,0,0.4,0.2,0.2,0.4,0.2,0,0.6,0.6,0.2,0,0,0.2,0,1,1,0.1,0,0,0,0
2017-07-08 02:10,0.05,1.03,328.3,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.4,3,0.8,0.1,0,0,0,4,4,1,0.4,0,0,0,6,2,1,0.6,0,0,6,9,1,1.5,0.6,0,0,1.5,5,1.5,1.5,0,0,0
2017-07-08 02:20,0.05,0.95,333.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.6,0,0,0,0,0,1,1,0.8,0,1.5,1.5,1,3,1,0,0.4,1,0.4,5,2,1,0,0,1,0.8,8,6,3,0,0,0,0.2
2017-07-08 02:30,0,0.56,121.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.2,0,0,0,0,0,0.2,0.2,0,0,0,0,0.2,0.4,0.2,0,1,0,0.1,0.2,0.8,0.6,0
2017-07-08 02:40,0,0.38,173.8,0,0,0.4,0.6,0.1,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.1,0,0
2017-07-08 02:50,0.05,0.95,174.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0.1,0,0,0,0,0,0.8,0,0
2017-07-08 03:00,0,1,256.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 03:10,0,1.57,174.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 03:20,0.05,1.48,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07-08 03:30,0.05,1.55,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
